hardware,hardware_label,engine,version,operator,phase,compute_tag,kv_cache_dtype,kernel_source,rows
b200_sxm,B200 SXM,trtllm,1.3.0rc10,mla,prefill,bfloat16,fp8,default,880
b200_sxm,B200 SXM,trtllm,1.3.0rc10,mla,decode,bfloat16,bfloat16,default,1448
b200_sxm,B200 SXM,trtllm,1.3.0rc10,mla,decode,bfloat16,fp8,default,1448
b200_sxm,B200 SXM,vllm,0.19.0,attention,prefill,bfloat16,bfloat16,vllm_flashinfer,10908
b200_sxm,B200 SXM,vllm,0.19.0,attention,prefill,bfloat16,fp8,vllm_flashinfer,10908
b200_sxm,B200 SXM,vllm,0.19.0,attention,decode,bfloat16,bfloat16,vllm_flashinfer,8454
b200_sxm,B200 SXM,vllm,0.19.0,attention,decode,bfloat16,fp8,vllm_flashinfer,8454
b300_sxm,B300 SXM,sglang,0.5.10,attention,prefill,bfloat16,bfloat16,trtllm_mha,5627
b300_sxm,B300 SXM,sglang,0.5.10,attention,prefill,bfloat16,fp8,trtllm_mha,5627
b300_sxm,B300 SXM,sglang,0.5.10,attention,prefill,fp8,fp8,trtllm_mha,5627
b300_sxm,B300 SXM,sglang,0.5.10,attention,decode,bfloat16,bfloat16,trtllm_mha,5093
b300_sxm,B300 SXM,sglang,0.5.10,attention,decode,bfloat16,fp8,trtllm_mha,5093
b300_sxm,B300 SXM,sglang,0.5.10,mla,prefill,bfloat16,bfloat16,trtllm_mla,1540
b300_sxm,B300 SXM,sglang,0.5.10,mla,prefill,bfloat16,fp8,trtllm_mla,1540
b300_sxm,B300 SXM,sglang,0.5.10,mla,decode,bfloat16,bfloat16,trtllm_mla,2324
b300_sxm,B300 SXM,sglang,0.5.10,mla,decode,bfloat16,fp8,trtllm_mla,2324
b300_sxm,B300 SXM,trtllm,1.3.0rc10,attention,prefill,bfloat16,bfloat16,torch_flow,21064
b300_sxm,B300 SXM,trtllm,1.3.0rc10,attention,prefill,bfloat16,fp8,torch_flow,21064
b300_sxm,B300 SXM,trtllm,1.3.0rc10,attention,prefill,fp8,fp8,torch_flow,21005
b300_sxm,B300 SXM,trtllm,1.3.0rc10,attention,decode,bfloat16,bfloat16,torch_flow,20120
b300_sxm,B300 SXM,trtllm,1.3.0rc10,attention,decode,bfloat16,fp8,torch_flow,20120
b300_sxm,B300 SXM,trtllm,1.3.0rc10,mla,prefill,bfloat16,bfloat16,default,880
b300_sxm,B300 SXM,trtllm,1.3.0rc10,mla,prefill,bfloat16,fp8,default,880
b300_sxm,B300 SXM,trtllm,1.3.0rc10,mla,decode,bfloat16,bfloat16,default,1448
b300_sxm,B300 SXM,trtllm,1.3.0rc10,mla,decode,bfloat16,fp8,default,1448
b300_sxm,B300 SXM,vllm,0.19.0,attention,prefill,bfloat16,bfloat16,vllm_flashinfer,10908
b300_sxm,B300 SXM,vllm,0.19.0,attention,prefill,bfloat16,fp8,vllm_flashinfer,10908
b300_sxm,B300 SXM,vllm,0.19.0,attention,decode,bfloat16,bfloat16,vllm_flashinfer,8454
b300_sxm,B300 SXM,vllm,0.19.0,attention,decode,bfloat16,fp8,vllm_flashinfer,8454
gb200,GB200,sglang,0.5.10,attention,prefill,bfloat16,bfloat16,trtllm_mha,5627
gb200,GB200,sglang,0.5.10,attention,prefill,bfloat16,fp8,trtllm_mha,5627
gb200,GB200,sglang,0.5.10,attention,prefill,fp8,fp8,trtllm_mha,5627
gb200,GB200,sglang,0.5.10,attention,decode,bfloat16,bfloat16,trtllm_mha,5093
gb200,GB200,sglang,0.5.10,attention,decode,bfloat16,fp8,trtllm_mha,5093
gb200,GB200,sglang,0.5.10,mla,prefill,bfloat16,bfloat16,trtllm_mla,1540
gb200,GB200,sglang,0.5.10,mla,prefill,bfloat16,fp8,trtllm_mla,1540
gb200,GB200,sglang,0.5.10,mla,decode,bfloat16,bfloat16,trtllm_mla,2324
gb200,GB200,sglang,0.5.10,mla,decode,bfloat16,fp8,trtllm_mla,2324
gb200,GB200,trtllm,1.3.0rc10,attention,prefill,bfloat16,bfloat16,torch_flow,21064
gb200,GB200,trtllm,1.3.0rc10,attention,prefill,bfloat16,fp8,torch_flow,21064
gb200,GB200,trtllm,1.3.0rc10,attention,prefill,fp8,fp8,torch_flow,20992
gb200,GB200,trtllm,1.3.0rc10,attention,decode,bfloat16,bfloat16,torch_flow,20120
gb200,GB200,trtllm,1.3.0rc10,attention,decode,bfloat16,fp8,torch_flow,20120
gb200,GB200,trtllm,1.3.0rc10,mla,prefill,bfloat16,bfloat16,default,880
gb200,GB200,trtllm,1.3.0rc10,mla,prefill,bfloat16,fp8,default,880
gb200,GB200,trtllm,1.3.0rc10,mla,decode,bfloat16,bfloat16,default,1808
gb200,GB200,trtllm,1.3.0rc10,mla,decode,bfloat16,fp8,default,1807
gb200,GB200,vllm,0.19.0,attention,prefill,bfloat16,bfloat16,vllm_flashinfer,10908
gb200,GB200,vllm,0.19.0,attention,prefill,bfloat16,fp8,vllm_flashinfer,10908
gb200,GB200,vllm,0.19.0,attention,decode,bfloat16,bfloat16,vllm_flashinfer,8454
gb200,GB200,vllm,0.19.0,attention,decode,bfloat16,fp8,vllm_flashinfer,8454
