framework,version,device,op_name,kernel_source,concat_dtype,num_tokens,num_heads,batch_size,isl,tp_size,qk_nope_head_dim,qk_rope_head_dim,latency
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,64,16,2,32,4,128,64,0.011163199692964554
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,64,8,2,32,8,128,64,0.011896000057458878
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,64,4,2,32,16,128,64,0.011140800267457961
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,64,2,2,32,32,128,64,0.011062400043010711
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,64,1,2,32,64,128,64,0.010577599704265594
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,128,64,2,64,1,128,64,0.010601600259542465
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,128,32,2,64,2,128,64,0.010080000013113022
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,128,16,2,64,4,128,64,0.0033215999603271483
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,128,4,2,64,16,128,64,0.003337600082159042
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,128,2,2,64,32,128,64,0.0034031998366117477
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,128,8,2,64,8,128,64,0.010155200213193893
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,128,1,2,64,64,128,64,0.003750399872660637
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,256,32,2,128,2,128,64,0.0034591998904943467
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,256,64,2,128,1,128,64,0.00920960009098053
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,256,16,2,128,4,128,64,0.0033215999603271483
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,256,4,2,128,16,128,64,0.003376000002026558
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,256,8,2,128,8,128,64,0.008912000060081481
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,256,1,2,128,64,128,64,0.008886399865150451
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,512,64,2,256,1,128,64,0.009566400200128555
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,512,32,2,256,2,128,64,0.008627200126647949
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,2,1,2,1,64,128,64,0.003753599897027016
