framework,version,device,op_name,kernel_source,allreduce_dtype,num_gpus,message_size,latency,backend
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,256,0.020936639308929444,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,512,0.004544000029563904,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,512,0.020855679512023925,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,1024,0.00455487996339798,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,1024,0.022433600425720214,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,2048,0.0046787199378013605,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,2048,0.020908479690551755,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,4096,0.004797120094299316,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,4096,0.022284479141235353,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,8192,0.004895359873771667,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,8192,0.021567680835723878,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,16384,0.004905920028686524,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,16384,0.020944321155548097,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,32768,0.005229439735412598,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,32768,0.02255552053451538,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,65536,0.005875200033187866,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,65536,0.022462720870971682,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,131072,0.007235199809074402,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,131072,0.02330496072769165,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,262144,0.011386879682540893,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,262144,0.02094847917556763,sglang_eager
